Company Name,Logo URL,Website URL,Type,Booth,Country,Company Industry,Sector(s),Region(s),Funding Stage,Business type,Founding Year,Number of Employees,LinkedIn,Instagram,Description
Cloud Solutions,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/b5730636b5c44059a7bde39861526e5e.png.webp?VersionId=noYf6sXaYrmucH7ih1VEb2ZXktOMee1t&amp;itok=CjADdTLc,https://cloudsolutions.com.sa,Exhibitor,H1.L80,,,,,,,,,,,
Cloud4C,,https://cloud4c.com,Exhibitor,H1.E30,,,,,,,,,,,
CloudApps LLC,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/24c4867d7f094d568d32a5a3901bbafb.png.webp?VersionId=ZUzPYVkfXF_XmZVZRoXGF.7xDAb6emCJ&amp;itok=rxXeC3Dv,https://cloudapps.com,,,,,,,,,,,,,
Cloudera Middle East FZ - LLC,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/bbbbe71ab93a454db7daa50737f0f38d.png.webp?VersionId=ZDZzwQOwA_YtnKAB0A1b0aSMAtZv6B2U&amp;itok=ZZzdghfD,https://cloudera.com,Exhibitor,H3.B50,United Arab Emirates,"Technology, Software and IT Services",,Africa; Asia; Europe; LATAM; MENA; North America; South America; UK and Ireland,,B2B,,,cloudera,,"Cloudera is the only hybrid data and AI platform company that large organizations trust to bring AI to their data anywhere it lives. Unlike other providers, Cloudera delivers a consistent cloud experience that converges public clouds, on-prem data centers, and the edge, leveraging a proven open-source foundation. As the pioneer in big data, Cloudera empowers businesses to apply AI and assert control over 100% of their data, in all forms, improving security, governance, and real-time and predictive insights. The world’s largest brands across all industries rely on Cloudera to transform decision-making and ultimately boost bottom lines, safeguard against threats, and save lives. To learn more, visit Cloudera.com and follow us on LinkedIn and X. Cloudera and associated marks are trademarks or registered trademarks of Cloudera, Inc. All other company and product names may be trademarks of their respective owners."
Cloudflare Middle East,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/04fb552c72d04961a5673468d2d3a121.png.webp?VersionId=GAgUKMF0xnPU04V7WmnJYcilEEOkmCl3&amp;itok=Jxk2IeNA,https://cloudflare.com,Exhibitor,H3.C50,United Arab Emirates,Other,,Africa; Asia; Europe; LATAM; MENA; North America; Oceania; UK and Ireland,,B2B,,,cloudflare,,"Cloudflare, Inc. (NYSE: NET) is the leading connectivity cloud company on a mission to help build a better Internet. It empowers organizations to make their employees, applications and networks faster and more secure everywhere, while reducing complexity and cost. Cloudflare’s connectivity cloud delivers the most full-featured, unified platform of cloud-native products and developer tools, so any organization can gain the control they need to work, develop, and accelerate their business. Powered by one of the world’s largest and most interconnected networks, Cloudflare blocks billions of threats online for its customers every day. It is trusted by millions of organizations – from the largest brands to entrepreneurs and small businesses to nonprofits, humanitarian groups, and governments across the globe. Learn more about Cloudflare’s connectivity cloud at cloudflare.com/connectivity-cloud. Learn more about the latest Internet trends and insights at radar.cloudflare.com. Follow us: Blog | X | LinkedIn | Facebook | Instagram"
CloudMates information Technology,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://www.cloudmates.me/,Exhibitor,H3.I20,Saudi Arabia,"Consulting and Advisory; Media, Entertainment and Gaming; Technology, Software and IT Services",,Asia; Europe; MENA,,B2B; B2C,2019,51-99,,,
CNTXT,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/6431e8d3180b47e39a209068cea699ad.png.webp?VersionId=oNPMM9LJ7OJOh0QXJeJfYI_X5mnCBGcE&amp;itok=zzXC1jJ1,https://cntxt.com,Exhibitor,H2.I20,,,,,,,,,,,"CNTXT is a Saudi AI-first technology company that turns data into context so organizations can operate with clarity, speed, and precision.We unify cloud, data, and AI into a single engine that powers smarter decisions and transforms how industries run. Beyond technology, we help organizations evolve. From modernizing operations to running critical digital environments, CNTXT provides the strategic partnership, expertise, and continuous oversight that keep systems reliable, scalable, and ready for what’s next.Our work is driven by a culture of Collective strength, New Thinking, Trust, Xcellence, and Technology that elevates customers and ecosystems alike.CNTXT equips organizations to lead with confidence in a world being rewritten by AI.CNTXTThe Future in Context."
CODE,,https://code.org,Exhibitor,H1A.D90,,,,,,,,,,,
CodeTrade.io,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/44620b12d8044a19828a06588c79c65d.png.webp?VersionId=Dff1P1EOhfGaNwHcU1ckggkkj.u8hGRO&amp;itok=NplyAjRR,www.codetrade.io,Exhibitor,H3.E169,India,"Technology, Software and IT Services",,Africa; Asia; Europe; MENA; North America; South America; UK and Ireland; Middle East,,B2B2C,2018,100-250,codetrade-india-pvt-ltd,codetrade.io,"CodeTrade is an AI-first enterprise software company and an official Odoo Partner, with 180+ in-house engineers and 10+ years of delivering for 450+ clients worldwide. We help manufacturers, distributors, and growing enterprises consolidate their operations onto one system, automate with production AI, and build custom software that scales.Our services span Odoo ERP implementation, migration, customization, and Support; AI, machine learning, and Generative AI; custom software and product engineering; eCommerce; and enterprise platforms and business automation backed by CMMI-assessed delivery and complete source-code ownership.CodeTrade combines AI-first delivery, certified engineering, and an on-the-ground office in Dubai to support organizations across Saudi Arabia and the wider Middle East. Meet our team at LEAP at Hall 3 and Booth E169 to discuss how Odoo and AI can accelerate your business priorities."
Cohere,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/bbd0d2f5d8cf41fdb4895b713af5aa5e.png.webp?VersionId=npAt8gsCDYc6LqFSExIBz69_vALxqb5J&amp;itok=OOr0f-vw,https://cohere.com/,Exhibitor,H1A.C40,Canada,"Technology, Software and IT Services",,Europe; MENA; North America; UK and Ireland; Middle East,,B2B,2019,500+,Cohere,,"Cohere is pioneering the next generation of natural language processing and AI technology. As a leader in enterprise-grade language models, we empower organizations to build more intelligent applications, enhance customer experiences, and unlock new possibilities through our cutting-edge AI platform. Visit us at LEAP to discover how our customizable language models can transform your business operations and drive innovation across industries."
Cohesity,,https://www.cohesity.com/,Exhibitor,H3.D50,Saudi Arabia,"Technology, Software and IT Services",,MENA,,B2B,,500+,posts,,"CCDS (Cloud Consultancy for Digitalization & Security) is a Saudi Arabia-headquartered cybersecurity systems integrator and services provider, with a regional footprint spanning the UAE, Egypt, and Oman. As an ISO 27001:2022, ISO 9001:2015, and ISO 45001:2018 certified company, CCDS delivers end-to-end cybersecurity and information technology solutions that help enterprises secure their infrastructure and meet compliance requirements. Our services span Managed Security Services, Red Team and Penetration Testing, Digital Forensics & Incident Response (DFIR), Governance, Risk & Compliance (GRC), Managed SOC & NOC operations, and Security Awareness Programs, complemented by network and cyber security, digitalization, infrastructure, and physical security solutions. Through a consultative, partner-driven approach, CCDS’s solution architects work closely with clients to identify security gaps and design tailored, integrated solutions — combining best-in-class technologies with structured project delivery across scoping, planning, execution, documentation, and reporting to protect businesses from evolving cyber threats."
Colada,,https://coladashop.com,,,,,,,,,,,,,
COMMSCOPE SOLUTIONS INTERNATIONAL,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/58755370f2f648f2935e4ce44192ad03.png.webp?VersionId=SlkyaxZwytqTDQ2qBBmjYP9E7iG7C_Qs&amp;itok=apG1E5Ma,https://commscope.com,Exhibitor,H3.I50,United Arab Emirates,"Technology, Software and IT Services",AI & Deep Tech; Manfacturing and Logistics; Smart Living & Consumer Technology; Technology & Telecommunications,MENA,,B2B; B2G,,,,,"About CommScope:Now part of the Amphenol family of brands, CommScope is taking our next bold step into the future. Our technical leaders have helped shape the future of connectivity. Our portfolio of Broadband, Data Center and Building & Campus solutions is built on decades of innovation and performance, but we are always looking forward. Investing in what's emerging and innovating to help our customers not only remain ahead of the curve but define it. Our purpose is clear: to deliver seamless, reliable and scalable connectivity that connects people, businesses and communities around the globe. Embracing our heritage while seizing bold new opportunities as part of the Amphenol family. CommScope remains the trusted brand you know, but stronger, more agile and ready to accelerate the next chapter of global connectivity.Building & Campus SolutionsToday’s facility and campus networks face new and complex challenges, as those responsible for designing and managing them struggle with issues like bandwidth, reach, network visibility and sustainability. Now, more than ever, infrastructure innovation and leadership are critical. CommScope delivers--helping you get the most from your enterprise network investment.Our Solutions include:SYSTIMAX® innovation and beyondSYSTIMAX® continually pushes the boundaries of structured cabling performance, redefining the standards since 1985. Our ground-breaking work in optical fiber, power over Ethernet and Category 6 and 6A twisted pair technologies has enabled customers to adapt and evolve across four decades. As the industry confronts new disruptive changes, SYSTIMAX delivers. With sustainable fiber and copper, network intelligence, edge/extended distance solutions and unmatched customer support, SYSTIMAX provides the future-ready foundation for today’s agile enterprise networks. Limitless potential powered by endless innovation.CommScope NETCONNECT® Finally, a comprehensive copper and fiber portfolio that provides the perfect balance of performance and value. Fast to deploy, sustainable and easy to manage, NETCONNECT solutions meet or exceed the structured cabling standards for enterprise applications. So, you can design confidently and deploy quickly."
COMMSCOPE UK LIMITED - DUBAI BRANCH,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/fd1cee18a837433f9862cb0ca66382a9.jpeg.webp?VersionId=82f9v5U0g_54WWh6uejXcg6xQAspwcPZ&amp;itok=srjTkzK_,https://www.ruckusnetworks.com/,Exhibitor,H3.I28,Saudi Arabia,"Technology, Software and IT Services",,MENA,,B2B,2004,500+,ruckus-networks,,"RUCKUS Networks, a Belden brand, delivers purpose-driven enterprise networks that enable superior business outcomes in demanding environments. Its solutions combine AI-powered automation, proactive network assurance, and context-aware security, ensuring unmatched performance with simplified management and lower operational costs."
Commvault,,https://commvault.com,Exhibitor,H1.E30,,,,,,,,,,,
Compal Electronics Inc,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/ff592ff11e2447649d15c02650d27257.webp?VersionId=.RffFQMdSfAtRtqobC6OA3rviIdhv1SY&amp;itok=NN-ncJUn,https://compal.com,Exhibitor,H1.K60,,,,,,,,,,,
Company Kerem Al-Dhakaa,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/733448ee90ee4d96b595cc8190ddcb9f.jpeg.webp?VersionId=wQuE1uLWWqcxaGeaZ22bbU.dDI3jbWkK&amp;itok=6O9PFlnK,https://kerem.org,,,,,,,,,,,,,
Company NOON AL-TALIMIYA For Information Technology,,https://noon.com,Exhibitor,H1A.A50,,,,,,,,,,,
Computer World International,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/d01c222b723148fa9b7fcf9348b3aabf.jpeg.webp?VersionId=YEGOWCw4jStg9yKLVc93XTfUbSs1XsUb&amp;itok=IPAu7e-C,https://computer-world.net,Exhibitor,H3.D140,Saudi Arabia,,"AI & Deep Tech; Cybersecurity, Aerospace and Defence; Technology & Telecommunications",MENA,,,,,,,"Computer World International (CWI) is a Digital Transformation Systems Integrator, providing comprehensive Cloud Infrastructure & Business Productivity solutions that helps organizations in their digital empowerment journey, quickly and cost-effectively. Our Strategic partnership includes global OEMs like Microsoft, AWS, DELL EMC, VMware. Our services delivery is based on industry best practices and governed by internationally recognized ISO 9001:2008 management standards."
Confluent ME - FZ LLC,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/ed66bafa50d040df93dac228e4330db7.png.webp?VersionId=CLGm7sQwZMtsbwLaz_fKj8Igf_dBz2b9&amp;itok=tlhml-kK,https://confluent.io,Exhibitor,H5.E60,United Arab Emirates,,,,,,,,confluent,,"The World's Data Streaming Platform, by the original co-creators of Apache Kafka®Eliminate costly data infrastructureClean data at the sourceBe ready for AI now"
Connect IQ Pte. Ltd.,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/6aadf6e95ff74ef486b25dcf37de9098.jpeg.webp?VersionId=UK9CIozxHBdUkT.Zebyoc0EbBvFUZC2k&amp;itok=CfJZT2iH,https://connectiq.co.za,,,,,,,,,,,,,
Connect Saudi,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/0ec0bae72ca245b488a65a17557a1e3e.jpeg.webp?VersionId=S34uHPOqcR9DYmqHiJXjVHf692KvQ91C&amp;itok=84XjUL3u,https://connectsaudi.com/,Exhibitor,H5.I38,Saudi Arabia,Telecommunications,Technology & Telecommunications,MENA,,B2B,,,connect-saudi,connectsaudi,"Future of Communication with Connect Saudi! 🌟📱 Empowering Businesses with Bulk SMS, WhatsApp Business API and AIStep into a world where connecting with your customers is seamless, efficient, and impactful. At Connect Saudi, we don’t just provide solutions – we enable businesses to transform communication into a growth powerhouse!✨ Why Connect Saudi?Smart Automation: Deliver instant, personalized responses 24/7.Streamlined Operations: Integrate WhatsApp, SMS effortlessly into your business.Actionable Insights: Use data to elevate your customer experience.Wide Reach: Engage customers across 200+ territories with ease.💡 Explore Our SolutionsExperience the power of Bulk SMS and WhatsApp Business API and see how businesses are driving sales, building stronger customer relationships, and boosting productivity – all from one easy-to-use platform.📍 Visit Our Booth to:1️⃣ Discover how Connect Saudi is enabling businesses like yours to thrive.2️⃣ See a live demo of product and AI solutions in action.3️⃣ Talk to our experts and learn how to transform communication for your business.🌐 Your Growth, Our MissionLet Connect Saudi guide your business toward smarter communication, better engagement, and unstoppable success.🚀 Connect Saudi – Transforming Communication, Driving Excellence!"
ConnectHear,,https://connecthearing.ca,Exhibitor,H3.E108,,,,,,,,,,,
Connecto,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/5a8da22e07584a4fb6a308ad49ea35c6.png.webp?VersionId=4SHikWyjGVHdBH70AcDpfcNM9O98FPlK&amp;itok=ua7pktXI,https://connectonebank.com,,,,,,,,,,,,,
ConnectPS,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/f81efaf8257b429aadec3adb7c76d3b6.png.webp?VersionId=SMqRwe65EhSpxLbI4_iZRSqhdctxYppr&amp;itok=Gut6WsOV,https://connectpsychservices.com.au,Exhibitor,H1.F30,Saudi Arabia,"Technology, Software and IT Services; Telecommunications",,Asia; MENA; Middle East,,B2B,2009,250-500,682136,,"Since 2009, CONNECT-PS has been the partner of choice for organizations who expect more from technology. Across 21 countries and nearly 200 client relationships, we've built a reputation not on volume, but on precision — deep technical expertise paired with an unwavering focus on what matters most to our clients' businesses. We don't simply deliver IT projects; we architect outcomes, translating innovation into lasting competitive advantage for the enterprises that shape their industries."
Conro Dynamics Gmbh & Co. KG,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/fe4a00c1322b41f3821fc41c56509fcf.png.webp?VersionId=I5tMPWxh6IHoH77hrfP87YGOFlu3vIPw&amp;itok=gjxV5L2P,https://www.conrodynamics.com/,Exhibitor,H5.A30,Germany,"Other; Technology, Software and IT Services",,Europe; MENA,,B2B; B2G,2025,,,,"CONRO Dynamics is a technology company specializing in AI-powered autonomous robotics and drone solutions for security and critical infrastructure protection. The company develops advanced ground robots, unmanned aerial systems, and intelligent software platforms that enable automated monitoring, threat detection, and real-time situational awareness. By combining artificial intelligence, autonomy, and innovative robotics, CONRO Dynamics helps organizations enhance safety, improve operational efficiency, and protect critical assets in complex environments."
Contents SPA,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/1aabb972c95541d2a30115e5510ada84.png.webp?VersionId=0WKqNNn7wuCV6phJ5KWGPouHX_QzUbB6&amp;itok=cfYjb-2T,https://contents.com,,,,,,,,,,,,,
Contractzlab,,https://contractzlab.com,Exhibitor,H1A.E50,France,,,,,,,,,,
Converge Smart Vending Machines,,,Exhibitor,H3.C190,,,,,,,,,,,
Coofounder,,https://cofounder.co,,,,,,,,,,,,,
Copa Fantasy,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/7abdc99f425844ea8a17fe5a499d3bea.png.webp?VersionId=SuO_pd4sMbLA0WP8Sf..Ae7uT.Crpun2&amp;itok=SFQUvQXe,https://copafantasy.com,,,,,,,,,,,,,
Cora LLC,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/073165c57e8e4a88adb34396d7764ef5.png.webp?VersionId=GS3LjtIowBRgdZgnEsZS4Xfuf5KKYTpy&amp;itok=TYsB4wRf,https://cora.com,,,,,,,,,,,,,
Core Care Company,,https://corecareshop.com,,,,,,,,,,,,,
Core Cognitive,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/7f851324262045d7a33d807692ff568b.jpeg.webp?VersionId=swIRR9aaNdomMjDVzoRecaIZSkHCW1n8&amp;itok=nHaMFp1N,https://cognitivemetrics.com,,,,,,,,,,,,,
Couchbase,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/b62a3f11066b4799a17cd3f244177f25.png.webp?VersionId=7Q7vn64Lsw86RMSp3LXO3dsU6UYcrilB&amp;itok=Qh4MdAeG,https://couchbase.com,Exhibitor,H1.B50,United States,"Technology, Software and IT Services",,Europe; MENA; Middle East,IPO/Exit,B2B,,500+,couchbase,,"About CouchbaseCouchbase, the Operational Data Platform for AI, empowers businesses to succeed by bringing data to life in new ways. Major market-leading companies rely on Couchbase for mission critical operational, analytical, mobile and AI workloads. Built to replace legacy infrastructure and fragmented data services, Couchbase empowers enterprises with a unified platform architected for performance, flexibility and global scale.With Couchbase, organizations bring their data to life, launching game-changing customer experiences, exploring the limitless potential of AI, and seamlessly extending applications from the cloud to the edge and beyond. Couchbase’s AI-ready technology and enterprise partnership model eliminate complexity and reduce total cost of ownership, enabling teams to stay agile, innovative and secure.Couchbase believes data should never slow you down, but act as the foundation for your next breakthrough. Discover why Couchbase is trusted to help the world’s biggest players scale, move fast and stay resilient, no matter what’s next on their roadmap. Visit couchbase.com and follow us on LinkedIn and X."
CQIIS,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://cqiis.net,Exhibitor,H3.B168,,,,,,,,,,,
Craftle,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/0736e4d58912469987bb4d03a2934d88.jpeg.webp?VersionId=vQ24cLzJHFcNhotU2XrKOQt0AjumTHY0&amp;itok=IwA16Gqm,https://playcraftle.com,,,,,,,,,,,,,
CREATIO EMEA,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://www.creatio.com/,Exhibitor,H3.F51,,"Technology, Software and IT Services",,,,B2B,,500+,creatioglobal,,"Creatio is an AI CRM and workflow platform where people and AI agents work together — with no limits on users, agents, or scale. We help midsize and large organizations run customer workflows in the AI era. Headquartered in Boston, MA, with a global team and a large ecosystem of partners, Creatio serves thousands of customers in over 100 countries and automates tens of millions of workflows daily. Genuine care for our clients and partners is at the heart of our DNA."
Creative AI,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/e7e74f11e7dc415497bff01a0b631208.png.webp?VersionId=3a.oayS6HJBKOsiR.tC57Cge4X.XvthG&amp;itok=a-gjKpsj,https://creative.ai,,,,,,,,,,,,,
Criteo MEA FZ - LLC,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://criteo.com,Exhibitor,H5.K31,,,,,,,,,,,
Crowd Analyzer,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/1e7e5919b6984820a988ac7329220be0.png.webp?VersionId=mSdV4Es2GA5uFL0S21uP_Y329b.38fnk&amp;itok=b-cErSL0,https://crowdanalyzer.com,Exhibitor,H3.F61,Saudi Arabia,"Education, Academia and Research; Media, Entertainment and Gaming; Technology, Software and IT Services",Media & Communications; Retail & Consumer Goods; Technology & Telecommunications,Africa; Asia; Europe; LATAM; MENA; North America; Oceania; South America; UK and Ireland,Pre-IPO,B2B; B2G; B2B2C,,,,,"Crowd Analyzer is the leading Arabic-focused social listening and analytics company in the MENA region.Founded in 2013 and backed by prominent Saudi tech and financial investors, we enable brands and agencies to thrive in today’s digital world by delivering actionable insights tailored to the region's unique linguistic and cultural nuances.كراود أنالايزر هي شركة رائدة في مراقبة ورصد وتحليل وسائل التواصل الاجتماعي، تركيزًا على اللغة العربية بمختلف لهجاتها في جميع أنحاء منطقة ال��رق الأوسط وشمال إفريقيا.تأسست الشركة في عام 2013 بدعم من أبرز المستثمرين ��لسعوديين في قطاع التكنولوجيا والتمويل، لتمكين العلامات التجارية، والوكالات، وحتى الحكومات من تحقيق النجاح في العصر الرقمي، من خلال تقديم رؤى قابلة للتطبيق، بما يتماشى مع الخصائص اللغوية والثقافية الفريدة للمنطقة."
CrowdStrike,,https://crowdstrike.com,Exhibitor,H3.B40,,,,,,,,,,,
CruxOCM,,https://cruxocm.com,Exhibitor,H1A.E50,United States,"Energy, Utilities & Natural Resources; Technology, Software and IT Services",,North America,Series A,B2B,2017,21-50,,,Crux is pioneering industrial autonomy starting with long haul oil pipelines.
Ctruh,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c2bd8f577db243d2885209f766145fa5.jpeg.webp?VersionId=.f2gcUmexkggRoaAFncgLFBxH_3d6NIq&amp;itok=NuRxgh83,https://ctruh.com,,,,,,,,,,,,,
Cure Bionics,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://curebionics.com,Exhibitor,H1A.E50,Tunisia,,"Biotech, Health & Life Sciences",Africa; Europe; MENA,Seed,B2B; B2C; B2G; B2B2C,2018,6-10,,,"Cure Bionics builds a bionic prosthetics ecosystem: modular multi-part arms, adjustable 3D-printed sockets, and a digital rehab platform for scalable fitting and upgrades."
Customizo,,https://customizo.ca,Exhibitor,H2.M10,,,,,,,,,,,
CyberAgora,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://cyberora.com,,,,,,,,,,,,,
CyberFortX,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/6bd35b01ac0b42988c8b72977d46edcd.png.webp?VersionId=tg.sR9VyRtw.xli6PKhfEPLed3civTW6&amp;itok=XcFCt186,https://cyberfortx.online,,,,,,,,,,,,,
CyberLabs LLP,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/a456dcceac7e4bb899898cd6f9071cad.jpeg.webp?VersionId=5kYQXydKn_G4RS6NCXhgRllz7AbRX05r&amp;itok=4eBDTqki,https://cyberlabsservices.com,,,,,,,,,,,,,
Cyfuture India Pvt Ltd.,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://cyfuture.com,Exhibitor,H5.D29,,,,,,,,,,,
CyMax Technologies,,https://cymaxtech.com,Exhibitor,H3.I170,,,,,,,,,,,
D3Minds Cyber Solutions Pvt Ltd,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://d3minds.com,Exhibitor,H3.F168,,,,,,,,,,,
Dadan.io,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/86b206d016b0416c8c79a4553662a1e5.jpeg.webp?VersionId=L2gtfh5UW2vb0__AN02Vi7h7BzZ1DXVV&amp;itok=PXEWXqkC,https://dadan.io,,,,,,,,,,,,,
Daftar Pay,,https://daftar.fr,,,,,,,,,,,,,
Dalil information Technology,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/251cf059a20f48ea9c5fe50c96f9c187.png.webp?VersionId=Gg7H2WUy1t.mepn2M6C3z0dUBbZVDgK.&amp;itok=iLJzF1AJ,https://daliltechnology.com,Exhibitor,H2.M40,Saudi Arabia,"Technology, Software and IT Services","Agriculture and Food; AI & Deep Tech; Cybersecurity, Aerospace and Defence; Financial Services and Fintech; Technology & Telecommunications",Africa; Asia; Europe; LATAM; MENA; North America; Oceania; UK and Ireland,,B2B,1991,500+,,,
Dallah Business Solutions,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/ff986ef6ddbe49d8ac08fd4dfce33430.jpeg.webp?VersionId=IDe9B4I1p2DJ5DsQCwg0LvBcJHMpiWAe&amp;itok=wqPiqzlk,https://dallah-umrah.com,Exhibitor,H3.I128,Saudi Arabia,"Consulting and Advisory; Energy, Utilities & Natural Resources; Technology, Software and IT Services; Telecommunications",,Asia,N/A,B2B; B2G,1992,21-50,dallah-business-solutions,,"Digital Transformation, ICT Strategy & Advisory, Business Process Optimization, Enterprise Solutions, Systems Integration, Operational Enablement, Technology Consulting, Smart Business Solutions, and Data-Driven Decision Support"
Daman Digital Platform,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/a666ae83464c4c00827c5a0c2f72d51a.jpeg.webp?VersionId=ICZGy.riaB0N_rVJfKAEi6Og4Davxn_1&amp;itok=dPeYej_F,www.rss.gov.iq,Exhibitor,H3.G160,IQ,,,,,,,,rssgoviq,rss.gov.iq,منظومة ضمان الرقميةمنظومة مقدمة من دائرة التقاعد والضمان الاجتماعي للعمال، تستهدف أرباب العمل وأصحاب المشاريع والعاملين بالقطاع الخاص، وكافة المواطنينأمّن مستقبلك الآن
Dapti LLC,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/a00e19d9447e41dc968aa97c26df9e8d.png.webp?VersionId=zTASXdkF.q6uNXQ0f_dEP_RNCV10pm5g&amp;itok=X-z1aBwI,https://dapti.az,,,,,,,,,,,,,
DARBCO,,https://darbco.com,,,,,,,,,,,,,
Darent,,https://darent.com,,,,,,,,,,,,,
Dart Technology,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/711cdfc0b10c4f86b06579e2c56fc7d8.png.webp?VersionId=H_j87QsIxqodTPcRtR7IOl2e.uJ0kvNW&amp;itok=C6B4mHZ7,https://dart.org,Exhibitor,H1.K40,Saudi Arabia,"Technology, Software and IT Services",,Africa; Asia; MENA; Middle East,,B2B,,,darttechnology,,"Dart Technology is a leading IT solutions provider specializing in Oracle Cloud, Oracle on-premise applications, and the full Oracle Technology Stack. Our services include Oracle implementation, integration, and support, helping businesses optimize their Oracle environments. In addition, we offer cloud service applications, custom software development, mobile app development, and solutions leveraging AI and IoT to drive digital transformation and innovation. With a strong focus on innovation and customer satisfaction, DART Technology has established itself as a trusted partner for businesses across various Industries all over ME region."
"DataBahn, Inc",https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/7b2ad25cb08c4e49be4dc6322b39ca5f.png.webp?VersionId=awx7cFthKGX0bkCanNPfPP2D_mDgPO2T&amp;itok=f9zwFmTs,https://databahn.ai,,,,,,,,,,,,,
DataBorn,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://databorn.ai/,Exhibitor,H5.E20,United Arab Emirates,Consulting and Advisory,,Asia; MENA; Middle East,,,,250-500,databorn,,
